TIC,role,verdict,sector,lc_pts_in_sector,t0_shift_phase,lc_dip_sigma,compactness,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
453947125,candidate,OFF_TARGET,11,1080,-0.0025000000000000022,19.624611404926224,0.8319740410196669,23,504,35.48163463146263,81.13280570729867,3.6934123550616085,77.56165945629378,453947179,0.20104542057428598,-1.0086999999999993,78,
339901386,candidate,OFF_TARGET,11,1080,0.0050000000000000044,14.729623168733777,0.7869308763128177,62,463,9.026354146050009,105.13861285810357,3.158085146282542,66.31978807193337,1007043154,0.2159236713738943,4.4398,453,
333732585,candidate,OFF_TARGET,56,11763,0.03500000000000003,13.215048376574503,0.94343112462198,1666,4534,5.82934370774915,9.817661074050392,1.4328063689310517,30.088933747552087,333732579,0.13104144181489316,2.8004,31,
120017739,candidate,OFF_TARGET,10,1085,0.0050000000000000044,14.042170515289067,0.8161750869539999,38,459,3.194197981822595,99.63676458165502,2.845908150048899,59.76407115102688,119928841,0.16812509605675457,0.20080000000000098,109,
309656476,candidate,ON_TARGET,62,9205,0.39749999999999996,8.462061623290456,0.8652138047428003,51,3514,-8.034743071404236,13.797297969387905,0.6570727881034678,13.798528550172824,309656481,1.2949087494982614,5.824999999999999,13,
297350195,candidate,OFF_TARGET,11,1080,-0.017500000000000016,15.637264909602196,0.9631824431535099,95,482,13.055900143496336,81.1954881106571,1.1389484740779396,23.91791795563673,297350211,0.0922282271269233,0.5545999999999989,542,
121490919,candidate,OFF_TARGET,1,1061,0.0025000000000000577,18.148917191411858,0.805130813658018,41,517,17.954929477540233,38.01621106632686,3.894391876541556,81.78222940737267,121490917,0.05731735254991035,-2.8429,5,
430253781,candidate,OFF_TARGET,12,1085,-0.007500000000000007,10.845805102484233,0.9485744873266954,46,497,6.921511284126552,18.608417026122112,2.114716401748087,44.40904443670982,1217887686,0.21568892510800708,6.4437000000000015,1193,
451041955,candidate,INCONCLUSIVE,10,1106,-0.0025000000000000022,10.985088530558096,1.0,9,466,2.7866068525379437,3.317106993799155,1.8688911992065194,39.2467151833369,451041942,0.10158744991924812,-1.3870000000000005,459,difference image too weak to locate the source
397004906,candidate,INCONCLUSIVE,41,3657,-0.0025000000000000022,12.735321621382766,1.0,712,659,4.8768239125577955,3.4109472801218437,0.7968185594990188,16.733189749479394,1953678100,0.3341041074214203,7.330099999999998,180,difference image too weak to locate the source
