TIC,bls_period,bls_depth,bls_snr,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,period_check_source,period_check
355981677,0.7965179110001707,0.2060720588114488,1389.5016789767071,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
35727587,0.7470882998160427,0.0019910663231604,58.19149981825976,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
35877600,13.148618490153147,0.2086174386132887,213.40166591581175,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
361568408,13.94227922451276,0.0538738594587026,36.91400708359609,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
362115607,0.8076008601229427,0.0331508678066683,100.58679309436036,KNOWN_OTHER_TYPE,False,True,Gaia DR3 5821109849349072128,ROT,0.371395,False,True,,,,False,,False,,,vsx,disagrees(ratio=2.1745)
363736935,34.4426599277983,0.4682653389987663,545.033340941395,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
366749440,20.49675969432868,0.0004139979884085,19.208539822537823,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
367301645,13.1024876265686,0.4167948674570574,2393.98343327864,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
367854604,39.49545968161949,0.0452603143421581,72.80072878593835,NOVEL,False,False,,,,False,False,,,,False,,False,,,,no_catalog_period
374684661,0.6660762713823981,0.0025788420574723,93.09124829753148,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
378067576,1.1061276196860994,0.0604560919642945,91.20615401682365,NOVEL,False,False,,,,False,False,,,,False,,False,,,,no_catalog_period
382024699,13.418852108122348,0.0347735445800838,607.6984086905642,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
386140833,0.7691852445569397,0.0064138130561365,118.00075746902048,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
386206443,7.328388787150551,0.0170532460434892,27.31876969950387,KNOWN_OTHER_TYPE,False,True,Gaia DR3 3031738180692053760,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.3043258,,no_catalog_period
387142107,1.7165187147790577,0.0457525891663695,184.35170617405257,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
393915029,1.070044418708319,0.0070007511246639,46.67646424307991,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
394085020,0.7152064916664156,0.0181221086783018,60.45959917531625,KNOWN_OTHER_TYPE,False,True,Gaia DR3 6408095195658016896,VAR,0.143075,False,True,,,,False,,False,,,vsx,disagrees(ratio=4.9988)
394420407,26.2727925718536,0.5223103091295546,446.6717517043114,KNOWN_OTHER_TYPE,False,True,Gaia DR3 4313900680080770688,RS,,False,True,,,,False,,True,RS,0.08929928,,no_catalog_period
398499986,26.98577976090201,0.892098834080782,12621.63542727794,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
400910916,0.8404272195161769,0.0070821414740005,73.15137281933258,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
401120789,20.53868587754941,0.3073057099402619,7299.703957369545,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
