TIC,toi,toi_tess_disp,toi_tfopwg_disp,toi_period
190442486,1375.01,,FP,5.4561177
190743990,1376.01,,FP,1.7380504
240613164,1377.01,,FP,1.99143
249812036,1378.01,,FP,5.7785318
252490659,1379.01,,APC,1132.0244686
277683130,138.01,,APC,6.1982658
274170255,1380.01,,FP,1.41072
275722992,1381.01,,PC,6.5601782
276360911,1382.01,,FA,0.44482
313506357,1383.01,,FP,1.532703
328167090,1384.01,,FP,0.7131492
329864959,1385.01,,FP,4.52318
343019899,1386.01,,CP,25.8386422
343442463,1387.01,,FP,0.78381
346338552,1388.01,,KP,4.4652986
353038705,1389.01,,PC,3.062624
62483237,139.01,,CP,11.0708575
365389353,1390.01,,FP,2.6380089
389182138,1391.01,,FP,2.7260173
416987878,1392.01,,FP,2.86876
430528566,1393.01,,FP,0.5590256
431156009,1394.01,,FP,2.958148
468472950,1395.01,,FP,0.98736
468845640,1396.01,,FP,3.99307
64553698,1397.01,,FP,8.6795072
66445643,1398.01,,APC,6.5560604
66783360,1399.01,,FP,1.3812787
140068425,140.01,,APC,2.2813432
258801269,1400.01,,FP,5.48923
259126549,1401.01,,FP,7.3845072
259129875,1402.01,,FP,0.43889
328750515,1403.01,,FP,2.3359622
352239069,1404.01,,PC,6.8674054
352239069,1404.02,,PC,14.431887
387834907,1405.01,,FP,12.64001
231736113,1406.01,,CP,10.5739824
69747919,1407.01,,KP,9.9783319
364186197,1408.01,,CP,4.4247042
364186197,1408.02,,KP,2.2222094
115771549,1409.01,,APC,4.7182888
219852882,1346.02,,CP,1.7622537
229747848,1347.01,,CP,0.8474218
229747848,1347.02,,CP,4.8420438
229770036,1348.01,,FP,2.1403498
272635712,1349.01,,APC,12.71672
267263253,135.01,,CP,4.1269046
233953967,1350.01,,PC,5.5402372
1718201850,1351.01,,APC,5.9294089
336740528,1352.01,,APC,5.2958813
279177746,1353.01,,FP,4.4350025
365683032,1354.01,,FP,1.4287976
372264750,1355.01,,CP,2.1702725
277566483,1356.01,,PC,24.2544697
357972447,1357.01,,FP,0.33759
275501623,1358.01,,FP,1.67346
416624606,1359.01,,FP,2.5152549
410153553,136.01,,CP,0.4629304
330468175,1360.01,,FP,0.70902
403224672,141.01,,CP,1.0082361
199444169,1410.01,,CP,1.2168732
116483514,1411.01,,CP,1.4520486
116483734,1412.01,,APC,4.731977
119700084,1413.01,,PC,6.1182129
125442121,1414.01,,APC,3.0197807
148782377,1415.01,,PC,14.4204896
158025009,1416.01,,CP,1.0697621
164173105,1417.01,,CP,3.0726434
224600500,1418.01,,FA,0.6763235
311035838,1419.01,,KP,2.8997405
425934411,142.01,,PC,0.8533534
321857016,1420.01,,CP,6.9561134
329277372,1421.01,,FP,2.8879675
333473672,1422.01,,CP,13.001789
333473672,1422.02,,,
229650439,1438.02,,CP,9.4280902
232982558,1439.01,,CP,27.6438617
261136679,144.01,,CP,6.2678139
233617847,1440.01,,PC,15.5174519
233617847,1440.02,,PC,4.6274206
233951353,1441.01,,CP,22.092974
235683377,1442.01,,CP,0.4090681
237232044,1443.01,,CP,23.5407467
258514800,1444.01,,CP,0.4702719
259172391,1445.01,,PC,9.8130697
259172391,1445.02,,PC,4.7842093
294471966,1446.01,,PC,6.3170657
294471966,1446.02,,PC,4.5057387
298073824,1447.01,,FA,1.2273079
343628284,1448.01,,CP,8.0970819
356158613,1449.01,,FA,
356158613,1449.02,,PC,2.3691849
346418409,1423.01,,FP,2.7556532
418959198,1424.01,,FP,4.8962484
350132371,1425.01,,APC,1.0318213
128501004,1426.01,,FP,0.78999
2041563029,1427.01,,FP,12.80758
377304435,1428.01,,FP,11.35626
138968089,1429.01,,FP,0.6412558
25375553,143.01,,KP,2.3109689
293954617,1430.01,,CP,7.4341456
375506058,1431.01,,CP,2.650232
256783784,1432.01,,CP,6.1095756
13684720,1433.01,,APC,12.4379715
138588540,1434.01,,PC,29.871853
153976959,1435.01,,CP,0.6858178
154383539,1436.01,,PC,0.8675883
198356533,1437.01,,CP,18.840891
229650439,1438.01,,CP,5.1396666
229944666,1464.01,,PC,11.3125266
236887394,1465.01,,KP,1.4200248
237086564,1466.01,,PC,1.8718991
240968774,1467.01,,CP,5.9711357
243185500,1468.01,,CP,15.5324385
243185500,1468.02,,CP,1.880531
283722336,1469.01,,KP,3.0929386
283722336,1469.02,,KP,6.7650398
220435095,147.01,,FP,3.4231002
284441182,1470.01,,CP,2.5272822
306263608,1471.01,,CP,20.7724316
306263608,1471.02,,CP,52.5637056
306263608,1471.03,,,5.4409615
306263608,1471.04,,,30.7200934
306955329,1472.01,,CP,6.3634106
352413427,1473.01,,CP,5.2544884
427654774,1474.01,,FP,5.222621
431514478,1475.01,,PC,8.4953513
432549364,1476.01,,KP,1.2174936
240681314,1477.01,,KP,2.7324809
409794137,1478.01,,CP,10.1802014
421308357,1479.01,,FP,16.6828999
393940766,148.01,,CP,4.8670758
335483600,1480.01,,FP,3.354053
197650870,1481.01,,FP,2.1853174
252616865,1482.01,,PC,5.7121916
452803785,1483.01,,FP,5.0037857
67309890,1484.01,,FP,1.1623941
377191482,1485.01,,FA,2.9551881
233541860,1486.01,,FP,0.2666485
459978312,1487.01,,FA,23.28798
198457103,1488.01,,FA,0.4721054
219751469,1489.01,,FA,6.98301
260985861,149.01,,PC,3.3399432
283474780,1490.01,,APC,3.9943
53875855,1491.01,,PC,4.4902667
354594208,1492.01,,FP,0.86673
15692883,1493.01,,CP,5.147905
411608801,1494.01,,CP,5.0267996
431148743,1495.01,,FP,2.6277641
384045439,1496.01,,FP,10.82661
371673488,1497.01,,FP,0.8165295
316402246,1498.01,,FP,1.4014167
414870287,1499.01,,FP,4.95898
271893367,150.01,,CP,5.8574075
377420580,1500.01,,FP,1.4147363
329145325,1501.01,,FP,1.077774
410528770,1502.01,,FP,2.7536237
428065977,1503.01,,FP,1.6534102
326114850,1504.01,,FP,1.2456423
331034236,1505.01,,FP,3.4272549
64836837,1506.01,,FP,10.9115374
265612438,145.01,,PC,5.13002
377293776,1450.01,,CP,2.0439268
417931607,1451.01,,CP,16.5379864
420112589,1452.01,,CP,11.0619937
198390247,1453.01,,CP,6.5886877
198390247,1453.02,,CP,4.3135263
294179385,1454.01,,PC,2.6794168
387259626,1455.01,,APC,3.6231364
199376584,1456.01,,CP,18.712253
176860064,1457.01,,APC,6.3768174
191284318,1458.01,,KP,2.7759678
16920150,1459.01,,FA,9.155934
355636844,146.01,,FP,6.30556
17005768,1460.01,,FP,6.8424983
44631965,1461.01,,APC,3.5686777
188768068,1462.01,,CP,2.1779407
190998418,1463.01,,KP,2.8791023
314338017,1524.01,,FP,10.9554897
276380902,1525.01,,FP,0.6171788
313761775,1526.01,,FP,1.5309799
202375913,1527.01,,PC,5.0625809
285543785,1528.01,,APC,9.9385448
312259170,1529.01,,FP,0.8229
231081369,153.01,,APC,7.6316384
312469860,1530.01,,FP,0.50261
312678993,1531.01,,APC,0.5175204
327579226,1532.01,,PC,8.905407
345143460,1533.01,,CP,3.6458046
345143460,1533.02,,PC,8.0637954
354600221,1534.01,,FP,1.41853
420288086,1535.01,,FP,6.5344463
445137888,1536.01,,FP,2.013653
173612049,1537.01,,PC,6.4902646
177244357,1538.01,,PC,6.54692
252636888,1539.01,,FP,2.590266
389525208,154.01,,FP,6.74657
318746829,1540.01,,FP,5.2273176
319068154,1541.01,,FP,3.7983639
367607434,1542.01,,FA,8.2916
431585347,1543.01,,FP,5.13664
455791689,1544.01,,PC,1.2918334
127425841,1545.01,,FP,1.5166573
194203348,1546.01,,PC,1.13345
409520860,1547.01,,FP,0.71933
440100539,1548.01,,FA,12.6017
191146556,1549.01,,FP,2.5798051
129637892,155.01,,PC,5.4499753
241065596,1550.01,,FP,1.6256942
288348498,1551.01,,PC,1.67546
326919774,1552.01,,FP,7.57193
327341626,1553.01,,APC,5.9382163
299158887,1554.01,,KP,9.4341589
441732151,1555.01,,FP,2.09989
405794804,1556.01,,FP,1.44127
320506985,1557.01,,FP,1.08697
117322779,1558.01,,FP,0.68601
241040309,1559.01,,PC,3.4648951
220518305,156.01,,FP,14.1520377
241076290,1560.01,,PC,0.2580006
245462406,1561.01,,FP,2.27456
249862365,1562.01,,FP,0.98999
249945230,1563.01,,PC,1098.2258586
250724252,1564.01,,APC,0.5596691
251384275,1565.01,,PC,1099.2560385
256414077,1566.01,,FP,3.01106
259151170,1567.01,,FP,
284050395,1568.01,,FP,1.35932
285666479,1569.01,,FP,1.71614
140691463,157.01,,CP,2.0845434
285674856,1570.01,,FP,1.74626
285677945,1571.01,,FP,1.2427
292321872,1572.01,,FP,8.66698
302773669,1573.01,,KP,21.216464
307111282,1574.01,,FP,
430677414,1507.01,,FP,0.46741
415741431,1508.01,,FP,2.1575124
272828463,1509.01,,FP,1.577609
382302241,151.01,,FP,1.59782
377739433,1510.01,,FP,1.23852
376682699,1511.01,,FP,1.1025238
434718964,1512.01,,FP,1.597226
269509393,1513.01,,FP,1.76589
270238522,1514.01,,FP,1.36991
470709084,1515.01,,FP,3.66505
376637093,1516.01,,CP,2.0560153
455962313,1517.01,,FP,2.25505
427761355,1518.01,,CP,1.902606
272049972,1519.01,,FP,1.0960111
403287048,152.01,,FP,7.00776
269238073,1520.01,,FP,6.1461734
366074069,1521.01,,FP,4.1812866
367102581,1522.01,,FP,2.9798592
387413037,1523.01,,FP,6.72694
186599508,1592.01,,FP,5.6318074
192372961,1593.01,,FP,2.06313
201154493,1594.01,,FP,1.51233
385105624,1595.01,,FP,1.7498117
431899140,1596.01,,FP,1.9734615
68152139,1597.01,,FP,0.73772
67418624,1598.01,,PC,1.1020719
129979528,1599.01,,KP,1.2198382
253917293,160.01,,FP,4.608
187029841,1600.01,,FP,0.361112
139375960,1601.01,,CP,5.33155
129991079,1602.01,,FA,6.15952
73448352,1603.01,,KP,4.7321735
118301361,1604.01,,FP,3.46608
101037590,1605.01,,CP,8.7094632
125735470,1606.01,,APC,4.7126743
26433869,1607.01,,FP,1.0357235
138017750,1608.01,,FP,2.4727494
229951289,1609.01,,FA,13.3118
348770361,161.01,,PC,2.7684331
219776325,1610.01,,PC,2.5287981
264678534,1611.01,,CP,16.2016817
268403451,1612.01,,KP,2.8641388
272625214,1613.01,,FP,5.2469991
317397615,1614.01,,FP,0.7438074
317507345,1615.01,,FP,3.9401791
322054600,1616.01,,PC,1.3433022
322202434,1617.01,,FP,1.4013505
376838000,1618.01,,FP,2.1679
377144784,1619.01,,FP,2.3866952
99493790,162.01,,APC,7.764691
378291076,1620.01,,PC,1.5982014
387260717,1621.01,,PC,6.453624
388076005,1622.01,,FP,1.7126115
407394748,1623.01,,FP,0.7522775
461387302,1624.01,,FP,5.8089284
470852531,1625.01,,FP,1.49446
157586003,1626.01,,KP,3.3326189
424435940,1627.01,,KP,5.0172146
284475976,1628.01,,KP,2.1436364
310003988,1629.01,,KP,4.5421594
179317684,163.01,,CP,4.2311173
317597583,1630.01,,CP,12.0557353
29054413,1631.01,,APC,15.2521892
51024887,1632.01,,FP,8.2491871
165551882,1633.01,,FA,12.1582804
201186294,1634.01,,CP,0.98933
230086768,1635.01,,FP,34.9270483
269892793,1636.01,,FP,1.7729239
286355915,1637.01,,FP,4.076684
312862941,1638.01,,PC,0.9150623
348673213,1639.01,,FP,0.901465
79395355,164.01,,FP,7.31898
316254876,1575.01,,FP,2.4611008
327011842,1576.01,,FP,0.7840121
332154944,1577.01,,FP,0.99837
348135793,1578.01,,FP,1.97741
354400186,1579.01,,FP,9.07768
403136413,158.01,,FP,2.51266
354469661,1580.01,,KP,4.7947749
370759867,1581.01,,FP,
374400599,1582.01,,FP,1.8932775
403256331,1583.01,,FP,3.77188
418987806,1584.01,,FP,0.88654
