TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,n_in_transit,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
287846593,903,903,OK,,0,0.0,1.7622511272952033,1469.4801215778346,0.084,0.08460774430331733,2.750168269289125e-05,3076.457002581413,46.0,False,False,0.08928305241939305,0.08270663110654419,0.9041952938113136,False,25.0,29.0,-0.375,0.08760245230874641,5.074687970565202,True,False
289799635,1100,1100,OK,,0,0.0,12.365231758167015,1543.9735974262808,0.5,0.10226107662941171,0.0008919450810687461,114.64952136613667,13.0,False,False,,,,False,0.0,20.0,-0.32499999999999996,0.0031761371288758777,0.40123533473298506,False,False
290296164,2211,2206,OK,,5,0.002261420171867933,17.51667459454205,1550.4272747200596,0.02,0.06027787918739097,0.0013392913214178349,45.0072946964056,2.0,True,True,,,,False,1.0,3.0,0.31500000000000006,0.006290919953511054,4.383992966858808,False,False
290342817,1075,1056,OK,,19,0.017674418604651163,13.437707144898448,1627.412075943469,0.084,0.8314975052379874,0.0015737115351702807,528.3671668251556,5.0,True,True,,,,False,1.0,5.0,0.08499999999999996,0.23950397947538282,5.768161375953822,True,False
294852916,2211,2211,OK,,0,0.0,2.546779832363934,1545.5081197520751,0.244,0.01445934059334241,4.0457544803664797e-05,357.39540457810057,209.0,False,False,0.013998224332255171,0.013362336216435122,0.14667997486742052,False,130.0,120.0,0.09499999999999997,0.0011883408951228747,2.433835685166613,False,False
307031606,904,904,OK,,0,0.0,9.583693586425822,1468.36320458051,0.028,0.2223921971180734,0.002810115644936002,79.13987366279305,2.0,True,True,,,,False,0.0,3.0,-0.09499999999999997,0.031748959859409176,3.8996791343282173,False,False
315118781,1963,1940,OK,,23,0.011716760061130923,11.802502302988177,1523.1920758020422,0.02,0.12536293212922225,0.0018300622352383227,68.50200485826466,1.0,True,True,,,,False,1.0,4.0,-0.07500000000000001,0.0023768176631461246,1.296677077375307,False,False
317336819,2263,2263,OK,,0,0.0,7.302141466550282,1631.6688673140638,0.02,0.46285774802489676,0.003473204808698093,133.26531935742534,1.0,True,True,,,,False,1.0,4.0,-0.495,0.002621308367655173,1.9623082960951823,False,False
319184580,47644,47644,OK,,0,0.0,1.3351644703740522,1956.271936152449,0.12,0.014091790656643243,6.804814111310189e-05,207.08560772029716,4392.0,False,False,0.008292633290203133,0.018809800736428572,75.5924667896372,True,2562.0,2707.0,-0.305,0.0010381920464352934,1.1385491836744763,False,False
319926294,1072,1072,OK,,0,0.0,12.11792908887081,1491.7512676999654,0.058,0.08448257575296109,0.0010292445884876548,82.0821179901442,6.0,True,True,,,,False,0.0,7.0,-0.015000000000000013,0.026046371154817005,3.6467392331419757,False,False
330234939,2244,2244,OK,,0,0.0,13.386822455766584,1749.7705968809998,0.5,0.22011833146280022,0.0055819340665288686,39.4340615348187,44.0,False,False,0.2486446382373798,0.17916820214097573,15.093077864395841,True,25.0,31.0,-0.044999999999999984,0.04084304169988928,5.2368596379548675,True,False
338100526,1049,1029,OK,,20,0.019065776930409915,10.36589136790776,1626.2360973396337,0.02,0.9385738069593745,0.0006138623801516766,1528.9645322905542,3.0,True,True,,,,False,1.0,3.0,-0.135,0.2553793746693238,3.9044671432678304,False,False
341355560,9612,9612,OK,,0,0.0,6.474126647657943,2718.9359180524402,0.17,0.0005400956551672266,8.042926025781737e-05,6.715163777907949,244.0,False,False,0.00043782271942682804,0.00015405679177904474,1.746574862719856,False,147.0,148.0,-0.22499999999999998,0.00048109916543626063,2.350551431644996,False,False
343034455,1086,1086,OK,,0,0.0,3.110793937829511,1625.215652003254,0.12,0.039890893820705646,0.0014458978460491075,27.58901255002687,30.0,False,False,0.03219680039044981,0.041650688428702454,2.5015230903228,False,18.0,20.0,0.245,0.009964803394989619,2.9602219736990367,False,False
349482650,51291,51291,OK,,0,0.0,39.20400292627966,1351.387568694162,0.02,0.0013921728515492572,0.0002380917289224824,5.847212155792774,31.0,False,False,0.0013058979828306505,0.0011155191719336432,0.391838405734892,False,18.0,17.0,0.495,0.00019702497234375116,3.034998660322576,False,False
350477886,13367,13352,OK,,15,0.0011221665295129796,2.1769122482150984,1326.474781636391,0.084,0.1274424669733152,0.0001287900830922892,989.5363362875672,520.0,False,False,0.10093948415293053,0.13259505603373145,7.573029803725831,True,316.0,306.0,-0.034999999999999976,0.007965019328283973,6.213846371753831,True,False
356064919,4021,4021,OK,,0,0.0,1.8602620596259094,1984.0430524196627,0.35000000000000003,0.00017751984232566587,3.1380489203355106e-05,5.6570132216640525,804.0,False,False,8.524093252604281e-05,0.00014620034969625717,1.2931531904556688,False,513.0,450.0,0.335,0.0002514753807812964,2.0373592824866713,False,False
35727587,1086,1086,OK,,0,0.0,0.7470882998160427,1625.2330189584864,0.35000000000000003,0.0019910663231604707,3.421575882008285e-05,58.19149981825976,503.0,False,False,0.002006308014997349,0.0018035440562705896,0.5444262328650106,False,297.0,304.0,,,,False,False
362115607,1086,1086,OK,,0,0.0,0.8076008601229427,1625.138115299038,0.17,0.03315086780666838,0.0003295747561568007,100.58679309436036,240.0,False,False,0.03490507590029046,0.02289059384671488,5.425553176857875,True,151.0,140.0,0.235,0.006858154018058227,2.4051822063991573,False,False
366812186,39729,39720,OK,,9,0.00022653477308766896,39.69096696830685,1851.817600256993,0.12,0.6695250579330507,0.0017433035074221948,384.0553610329567,30.0,False,False,,,,False,40.0,0.0,0.015000000000000013,0.0030621264971080198,4.336585535328174,False,False
367301645,2771,2768,OK,,3,0.0010826416456153013,13.102487626568601,2779.501110529682,0.12,0.4167948674570574,0.0001741009823473352,2393.98343327864,18.0,False,False,-0.0087209264757111,0.6718619726994203,29.72602610998556,True,10.0,13.0,0.04500000000000004,0.012046279477461619,2.1281780759757085,False,False
