target_TIC,nbr_TIC,nbr_Tmag,sep_arcsec,nbr_disposition
125356758,125356781,17.1275,52.08353579951289,
125356758,835904497,19.6062,60.52419138662488,
125356758,827813,17.1122,60.680923511864734,
125900581,776172589,20.73,3.515898935179219,
125900581,125900575,17.5104,7.017420976658262,
125900581,776172873,20.0265,9.341065874816273,
125900581,776172867,16.8621,10.939375543078185,DUPLICATE
125900581,125900569,16.8621,11.292324170159276,SPLIT
125900581,776172875,18.6696,12.035931719122946,
125900581,125900572,18.4244,12.479885734054816,
125900581,125900587,17.5998,14.857314224333752,
125900581,776172591,20.7218,16.859753765691117,
125900581,776172585,20.6839,17.29107241174528,
125900581,776172583,20.1143,18.875842742879033,
125900581,125900567,15.1266,18.943428193913316,
125900581,776172587,20.5448,23.856670043358474,
125900581,125900561,15.9144,25.457051991326765,
125900581,776172876,20.0891,25.92868562073004,
125900581,125900578,17.1561,26.049302480399042,
125900581,776172862,19.0363,26.703184529590537,
125900581,776172588,20.1307,26.838206169264815,
125900581,776172543,18.0319,27.64980899779138,
125900581,776172582,20.0519,27.666766261664296,
125900581,125900553,17.0081,27.867684173371845,
125900581,776172599,17.9713,29.2375923545172,
125900581,125900570,14.9429,29.284755550572513,
125900581,776172864,18.9171,32.25953607858588,
125900581,125900595,17.6531,32.477554980391844,
125900581,776172544,18.254,32.49099335202611,
125900581,776172608,18.5722,32.78243154072632,
125900581,776172584,20.0539,33.609095865421466,
125900581,776172546,17.9434,34.44383771027213,
125900581,776172869,19.6253,35.1012161123886,
