TIC,tess_eb_period,tess_eb_morph
160697480,2.9844975,0.708
83914837,0.9118507,0.649
312102715,0.9936833,0.8
48318875,0.3028388,0.746
260708271,0.3588283,0.895
243192504,2.2871298,0.352
398363472,3.0580323,0.319
307610438,1.5623674,0.36
300104749,5.5777022,0.263
150300654,5.4498972,0.366
304458680,1.0387194,0.796
357512000,0.8797054,0.697
270288280,0.3057097,0.879
179368346,0.2626685,0.731
309350921,4.982654,0.24
306576384,3.2146434,0.253
241532550,2.0572216,0.284
150357064,2.9787011,0.303
47309500,0.3868075,0.773
323020176,11.9758852,0.182
255350388,1.6905379,0.433
338104678,1.4466495,0.679
294200378,2.9855276,0.574
16288184,4.3596973,0.471
323442776,1.1493927,0.775
384534266,0.9877761,0.937
279087522,4.2407153,0.373
341258182,4.4899092,0.433
263035184,0.3033046,0.727
291320884,0.3717522,0.57
279217728,8.730563,0.345
167201539,9.4689278,0.152
41561453,1.513786,0.607
177631209,2.1442081,0.36
271893367,5.8574622,0.338
374447935,15.5144882,0.375
384742846,6.356936,0.25
298372701,1.6642684,0.267
430263572,1.2482139,0.554
151300352,0.6214257,0.71
301160638,16.0184397,0.109
30450412,1.2538431,0.355
284783117,11.243486,0.219
348555861,2.1609242,0.318
407147727,0.5996011,0.596
279692257,2.6168348,0.419
349059354,1.6646631,0.522
198076334,0.7826006,0.545
357040925,0.5140399,0.812
402918060,2.5622873,0.365
305674644,0.3142173,0.945
306987941,0.4710207,0.605
381979901,3.2541357,0.501
255319384,2.2965187,0.542
206912019,0.3572646,0.913
423987361,5.5332324,0.141
454058066,6.4562843,0.667
389070884,8.5425301,0.66
343757299,5.8192347,0.26
342782002,1.0971318,0.547
418720347,1.8038465,0.455
202445608,3.3692498,0.622
357662316,3.6126873,0.232
125115082,1.3010635,0.544
262614966,1.1545645,0.953
280055342,0.7865936,0.628
341029467,13.2085964,0.207
125857387,2.494762,0.68
38494096,4.8944544,0.522
301247295,4.2558821,0.441
257737073,1.330149,0.51
220402294,0.7852427,0.641
300324638,2.6413906,0.458
442829369,3.8623246,0.405
309619055,10.5509286,0.163
25078120,0.8232098,0.952
167656297,2.2656055,0.319
220397947,3.5520271,0.328
342694097,4.3433237,0.647
124350360,17.1162213,0.007
306272819,2.5461439,0.445
370676773,1.7986396,0.903
447493530,3.3007849,0.551
379865347,0.9328606,0.47
279323519,4.0927845,0.332
24133365,7.0690407,0.338
293151358,2.3129764,0.571
379806358,0.4307893,0.722
67267845,2.0253143,0.586
238229705,31.4722935,0.136
272086869,3.9826984,0.193
388128308,1.1939728,0.41
190863171,0.2043994,0.62
207511576,1.3680135,0.608
214716930,8.5251621,0.261
261138857,1.8415276,0.664
102643159,1.7769154,0.559
396655059,7.9771837,0.186
388244501,2.1187553,0.959
336931938,0.379872,0.788
24194061,1.2624534,0.561
465088681,12.0413734,0.296
426541180,4.6975343,0.199
90836525,0.3138837,0.892
125958765,0.6173582,1.025
305675525,0.2965474,0.853
207693951,2.7164452,0.53
349763482,15.6295651,0.125
255513991,2.1983926,0.719
159803421,0.5522213,0.435
255567460,13.7963311,0.08
394699148,0.4124419,0.934
388203226,0.8139276,0.579
455463415,5.852051,0.349
350025490,0.6268532,0.502
304071827,1.5916127,0.523
360571125,2.4624055,0.355
426422372,14.3094876,0.182
149030418,1.7402013,0.443
349521875,37.4100847,0.113
297701617,18.5478532,0.307
316207527,3.0131225,0.287
216728030,3.1972282,0.703
121455954,3.5148061,0.671
407824089,17.9447363,0.077
410418820,8.569526,0.231
217059369,5.6820851,0.679
446872386,13.0812872,0.085
261136311,8.8717027,0.31
278826516,14.0836051,0.082
32959497,2.5034399,0.524
306107122,7.759831,0.389
269852699,5.136511,0.262
348717439,0.4794003,0.85
359987981,1.0655783,0.943
213514265,2.3277105,0.556
363933313,4.6866172,0.194
395429348,1.6513533,0.395
290410988,0.2858823,0.737
216995338,4.974134,0.217
189084771,15.0798097,0.34
133701671,4.6955429,0.235
222945452,0.7482019,0.595
293480903,7.5694596,0.117
279156705,0.7228749,0.885
407823917,10.6152073,0.143
448727889,4.3914487,0.841
222173967,2.013641,0.384
294197236,1.9345402,0.607
141708335,4.7603435,0.251
294059372,0.6667438,0.605
303264387,1.7811271,0.572
276836579,0.3814965,0.768
418527327,2.0457806,0.825
339566276,4.2403186,0.646
421285598,2.3581131,0.326
402918064,1.2811614,0.426
349643889,26.6794629,0.032
343285974,16.0457664,0.337
167812449,4.2356768,0.141
325564366,0.8886966,0.509
306981513,2.770777,0.48
267239205,0.8303664,0.608
245527958,0.9415949,0.967
216190934,2.6749712,0.567
247145147,12.9536819,0.071
152377056,0.943262,0.571
94257578,1.1911554,0.465
218821972,3.5378793,0.462
455509774,3.9034251,0.618
161988269,2.513944,0.592
442567883,0.6258737,0.579
301956407,1.8312572,0.451
340100436,2.9382126,0.239
448913059,0.3677722,0.986
122645363,0.5339372,0.532
311103813,0.5278588,0.681
50380257,1.3482851,0.598
456609929,4.5671749,0.273
464422047,2.7484161,0.492
254003502,0.5914569,0.824
238197709,13.7256533,0.074
112401201,1.1157894,0.68
265435357,2.8775044,0.861
396170777,6.5656577,0.468
303909865,2.1266729,0.425
344031627,4.0184211,0.727
360824561,1.4952488,0.459
339666028,1.0070898,0.921
422038373,8.222261,0.148
380645083,4.3886488,0.171
279322914,18.8676842,0.118
6667908,14.4434464,0.298
201747686,1.3456287,0.5
167792080,3.2532219,0.444
280052690,2.8504361,0.433
31690845,0.5995535,0.708
278866211,2.1940517,0.238
196954401,3.7499836,0.611
407584737,5.6505968,0.194
382308684,9.0737123,0.168
306723230,2.5257948,0.519
424796997,13.8773593,0.125
280095254,10.2930439,0.515
380659334,0.3494674,0.914
113567527,6.6547256,0.274
91246422,18.7739778,0.087
254045302,2.8888736,0.43
219967673,0.8586386,0.827
254258206,8.0168719,0.511
113061684,0.6932295,0.882
181341926,1.0054508,0.585
253715855,1.1320096,0.588
263925187,0.6662304,0.529
383427491,5.8005723,0.462
396903513,3.1686041,0.522
341309569,7.3465817,0.107
