TIC,bls_period,bls_depth,bls_snr,n_eclipses_observed,gap_edge_suspect,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,tess_eb_match,tess_eb_period,tess_eb_morph,toi_match,toi,toi_tess_disp,toi_tfopwg_disp,toi_period,period_check_source,period_check
121490919,2.46324919067918,0.0137039352817923,19.961480493786684,9.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
125941416,2.159830069365802,0.0102954030317123,53.02911950145998,10.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
127263318,3.3850934888121875,0.030948932810048,85.99470849438636,8.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
135330868,2.3080699852011786,0.066781109840227,161.69653810564594,11.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
154831865,4.149911125016282,0.0861595001300866,254.98950809912017,9.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
222705458,8.930101999659563,0.1022785516309667,121.3795262904901,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
229494598,0.9741902095880742,0.0020298333573652,153.3257672739347,161.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
229494833,15.383868064542838,0.0003716524502771,14.90248105384826,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
233459038,25.33843893363065,0.0831463073204632,236.6169478798572,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
233666475,1.1859403791758476,0.0161249124060782,62.63374900680092,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
237507898,3.695844096360272,0.0468143392549513,104.10800026056394,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
247637164,4.102612525828581,0.0263011406318284,72.46006206422604,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
251898081,27.308941821683568,0.1863041391168927,5534.523510196895,5.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
257301155,4.359765420294886,0.0224232223979701,86.05941988794083,6.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 3078505151863589760,VAR,0.0365991,False,True,,,,False,,False,,,False,,,False,,,,,vsx,disagrees(ratio=119.1222)
261590581,8.914511806693824,0.1390722820964522,146.36275051271326,10.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 6380557995660243840,VAR,0.0196034,False,True,,,,False,,False,,,False,,,False,,,,,vsx,disagrees(ratio=454.7431)
273148514,0.9613139022087518,0.0033705797919588,222.5955971521154,27.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
273150032,3.5470907738817847,0.0260029719632163,94.88238556844028,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
281310348,1.7702142184960212,0.0727297763991251,179.71717247011716,11.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
282344989,26.613732175284117,0.3542417296442593,471.1469792476249,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
29454613,4.422794521149218,0.065433708631412,545.6333542732605,30.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
294658624,12.634188400660546,0.0218178270406439,38.67877886705848,4.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
295348592,0.7118155612785168,0.0069873355023653,61.04780725279149,67.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
297350195,1.3767316372249678,0.0087023838923125,20.988624373735213,17.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
298231916,0.7804951527384956,0.0422542225817544,221.65324097645257,33.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
299139880,10.08738470409955,0.0455831582994897,110.3176001204469,6.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
308628103,2.6209643374095326,0.0685510758389176,79.93675623358139,8.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
