TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
348345578,13.86,OK,GSFC-ELEANOR-LITE,1,1048,GSFC-ELEANOR-LITE,
218195662,13.83,OK,GSFC-ELEANOR-LITE,1,1056,GSFC-ELEANOR-LITE,
10510721,13.62,NO_DATA,,0,0,,
417900012,13.15,OK,QLP,4,19518,QLP,
451541693,13.75,OK,GSFC-ELEANOR-LITE,2,2165,GSFC-ELEANOR-LITE,
257301155,13.11,OK,GSFC-ELEANOR-LITE,1,1072,GSFC-ELEANOR-LITE,
135330868,13.37,OK,GSFC-ELEANOR-LITE,1,1077,GSFC-ELEANOR-LITE,
323968835,13.83,OK,GSFC-ELEANOR-LITE,3,3344,GSFC-ELEANOR-LITE,
47215035,13.8,OK,QLP,4,20299,QLP,
295348592,13.31,OK,GSFC-ELEANOR-LITE,2,2167,GSFC-ELEANOR-LITE,
234073517,13.69,OK,GSFC-ELEANOR-LITE,1,904,GSFC-ELEANOR-LITE,
147634864,13.3,OK,GSFC-ELEANOR-LITE,1,1072,GSFC-ELEANOR-LITE,
279169017,13.82,NO_DATA,,0,0,,
216737462,13.74,NO_DATA,,0,0,,
256949088,13.53,NO_DATA,,0,0,,
385457541,13.51,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
244980200,13.66,NO_DATA,,0,0,,
256515888,13.66,OK,TASOC,4,4442,TASOC,
138361036,13.63,OK,TASOC,2,1616,TASOC,
338476519,13.59,NO_DATA,,0,0,,
355237275,13.78,OK,GSFC-ELEANOR-LITE,4,4154,GSFC-ELEANOR-LITE,
233413513,13.8,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
253169711,13.87,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
281310348,13.49,OK,GSFC-ELEANOR-LITE,1,904,GSFC-ELEANOR-LITE,
255964195,13.42,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
383799332,13.7,OK,GSFC-ELEANOR-LITE,3,3073,GSFC-ELEANOR-LITE,
331031476,13.81,NO_DATA,,0,0,,
228334540,13.69,NO_DATA,,0,0,,
280490452,13.53,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
42000494,13.88,NO_DATA,,0,0,,
76132511,13.31,OK,GSFC-ELEANOR-LITE,1,955,GSFC-ELEANOR-LITE,
308628103,13.66,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
373698711,13.08,OK,QLP,8,46833,QLP,
468604939,13.87,NO_DATA,,0,0,,
356501128,13.13,OK,QLP,5,28823,QLP,
387840566,13.78,DOWNLOAD_ERROR,,0,0,TARS,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_tars_tess_ffi_s0054-0000000387840566_tess\hlsp_tars_tess_ffi_s0054-0000000387840566_tess_v01_lc.fits of type gener
80886802,13.11,OK,QLP,5,30280,QLP,
298231916,13.38,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
329697675,13.52,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
382047393,13.78,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
291001220,13.45,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
87175640,13.65,OK,GSFC-ELEANOR-LITE,1,1177,GSFC-ELEANOR-LITE,
133774355,13.33,OK,QLP,2,13350,QLP,
136187489,13.2,OK,QLP,2,13356,QLP,
22204600,13.51,NO_DATA,,0,0,,
294658624,13.6,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
386160810,13.09,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
465390277,13.68,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
43369120,13.61,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
356056914,13.25,OK,QLP,5,23120,QLP,
442683122,13.64,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
229612753,14.36,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
305122323,14.35,OK,GSFC-ELEANOR-LITE,1,1107,GSFC-ELEANOR-LITE,
466507480,14.03,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
161101296,13.89,OK,GSFC-ELEANOR-LITE,1,964,GSFC-ELEANOR-LITE,
403680605,13.94,NO_DATA,,0,0,,
464750142,14.33,NO_DATA,,0,0,,
386205624,13.95,OK,GSFC-ELEANOR-LITE,1,1072,GSFC-ELEANOR-LITE,
67246200,14.16,NO_DATA,,0,0,,
88112999,14.22,NO_DATA,,0,0,,
405257355,14.24,NO_DATA,,0,0,,
394003174,14.0,NO_DATA,,0,0,,
393920221,14.3,OK,GSFC-ELEANOR-LITE,1,862,GSFC-ELEANOR-LITE,
452557937,13.99,OK,GSFC-ELEANOR-LITE,3,3274,GSFC-ELEANOR-LITE,
414578023,13.89,NO_DATA,,0,0,,
468888637,14.08,OK,GSFC-ELEANOR-LITE,1,1119,GSFC-ELEANOR-LITE,
13841231,14.03,NO_DATA,,0,0,,
373953668,14.21,NO_DATA,,0,0,,
83760154,14.31,OK,GSFC-ELEANOR-LITE,1,971,GSFC-ELEANOR-LITE,
256180238,14.36,NO_DATA,,0,0,,
457566715,14.19,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
219586166,14.01,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
10037750,14.14,NO_DATA,,0,0,,
453941747,14.12,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
319667639,14.1,NO_DATA,,0,0,,
410907337,13.94,OK,GSFC-ELEANOR-LITE,1,1107,GSFC-ELEANOR-LITE,
260354948,14.08,OK,GSFC-ELEANOR-LITE,13,13367,GSFC-ELEANOR-LITE,
341793116,14.23,OK,GSFC-ELEANOR-LITE,4,4036,GSFC-ELEANOR-LITE,
75629878,14.31,OK,GSFC-ELEANOR-LITE,2,1966,GSFC-ELEANOR-LITE,
149927592,14.0,PROCESSING_ERROR,,0,0,TASOC,"cannot reshape array of size 0 into shape (0,newaxis)"
356264134,14.25,NO_DATA,,0,0,,
170074183,14.18,NO_DATA,,0,0,,
151645315,14.02,NO_DATA,,0,0,,
